iter	Logloss
427	0.1248280795
428	0.1244487998
429	0.1239950314
430	0.1235154606
431	0.1231890307
432	0.1225999932
433	0.1222922043
434	0.1217881551
435	0.1212171684
436	0.1207374764
437	0.1201509017
438	0.1199001267
439	0.1193544282
440	0.1188212051
441	0.1183938952
442	0.1179425395
443	0.1172389285
444	0.1168743476
445	0.1164340294
446	0.11601982
447	0.1156733275
448	0.1153835086
449	0.1149877942
450	0.1147092197
451	0.1141687227
452	0.1137967658
453	0.1134683862
454	0.1132001406
455	0.1129133505
456	0.1123685366
457	0.1119283538
458	0.1114925053
459	0.1109896395
460	0.1106047813
461	0.1102388435
462	0.1098670378
463	0.1093599151
464	0.1088523412
465	0.1084513014
466	0.1079754816
467	0.1075260348
468	0.1071646707
469	0.1068165334
470	0.1063665146
471	0.1060225899
472	0.1054854901
473	0.1051263177
474	0.1046867712
475	0.1044245209
476	0.1039865344
477	0.1034838415
478	0.1028793008
479	0.1024640167
480	0.1020905571
481	0.1017173618
482	0.1014311366
483	0.1012158234
484	0.1008998792
485	0.1004052201
486	0.09999734909
487	0.09955219972
488	0.09902659173
489	0.09860955663
490	0.09812378154
491	0.09787784352
492	0.09748943213
493	0.09714155131
494	0.0968968641
495	0.0963831239
496	0.09600389963
497	0.09566392622
498	0.09537694789
499	0.09488618864
